,Geo,Date_Time,User,Tweet,Language,Location,UserAccountVerified,Tweet_Source,Retweet_Count,Tweet_FavCount
259,,2020-03-14 13:13:37,syombuamagdalin, 😂😂😂😂Raymond Reddington instructing Glen to to track down the creator of corona virus.. 😂😂He will probably find him in l…,en,"Nairobi, Kenya",False,Twitter for Android,14,0
260,,2020-03-14 13:13:10,jude_el_gringo,Cyrus oguna is telling us they don't have any reason to lie about Corona . Yes they do the want the 1 billion dolla… ,en,"Nairobi, Kenya",False,Twitter for Android,0,3
261,,2020-03-14 13:12:52,fredomare6, #rongai #covid19kenya #Rwanda #KOTLoyals #KOTLoyalsOnly #Alai #coronaInkenya #Reddington  Mkichomea mtu kwa mat ati ako na…,tl,Nairobi,False,Twitter Web App,3,0
262,,2020-03-14 13:12:42,MOH_Kenya,The lines are working . You can also get more information on #Covid_19 through Safaricom by dialing *719#… ,en,"Nairobi, Kenya",True,Twitter for iPhone,7,4
263,,2020-03-14 13:12:24,lukas_kiamba,#RepentNowNations #coronvirusireland #coronapocalypse #coronaviruske #CoronavirusPandemic #coronaviruskenya… ,en,"Vienna, Austria",False,Twitter Web App,0,1
264,,2020-03-14 13:12:21,kisumba, Wakale 😂😂😂 #covid19kenya #coronaInkenya #rongai ,in,NBO/VT,False,Twitter for Android,328,0
265,,2020-03-14 13:12:11,gadtimo, Did the Kenyan government fake the claims to get donor funding? That's what everyone is saying the Kenyan government is doi…,en,Nairobi,False,Twitter for Android,143,0
266,,2020-03-14 13:12:07,JoycePe65573830, #CoronaVirusUpdates #COVID19 #COVIDー19  #CoronaOutbreak #coronaInkenya #Wuhan #Italy #covid19kenya #coronavirus Retw…,en,,False,Twitter Web App,2,0
267,,2020-03-14 13:11:57,_chidi__, Wakalee tulkosea nini 🤣🤣🤣If you haven't watched this be sure to watch till the end. #covid19kenya #CoronaVirusUpdates…,en,Twitter,False,Twitter Web App,176,0
268,,2020-03-14 13:11:43,deejayjim_,Ever used this corona toothbrush?#CoronaVirusUpdates #coronaInkenya ,en,"Nairobi, Kenya",False,Twitter for Android,0,2
269,,2020-03-14 13:11:14,OneJacobKelly, It is turning out (though allegedly) that Kenya Govt lied about #coronaInkenya to Benchmark with UN Funding.This count…,en,"Kisumu, Kenya",False,Twitter for Android,4,0
270,,2020-03-14 13:11:05,gideon_mutai, Wakale 😂😂😂 #covid19kenya #coronaInkenya #rongai ,in,"Nairobi, Kenya",False,Twitter Web App,328,0
271,,2020-03-14 13:11:03,Feloz_olez, Wakale 😂😂😂 #covid19kenya #coronaInkenya #rongai ,in,"Nairobi, Kenya",False,Twitter for Android,328,0
272,,2020-03-14 13:10:49,Gymyyyy, Global CoronaVirus Update#COVIDー19 #CoronaVirusUpdates #covid19kenya #coronavirusnz #COVID19Aus #coronavirus #COVID…,en,,False,Twitter for Android,6,0
273,,2020-03-14 13:10:30,Puskyee, Global CoronaVirus Update#COVIDー19 #CoronaVirusUpdates #covid19kenya #coronavirusnz #COVID19Aus #coronavirus #COVID…,en,"New York, USA",False,Twitter for Android,6,0
274,,2020-03-14 13:10:20,afrikan_rapper,#coronaInkenya Ikikushika upone inaeza kushika tena?,tl,apa tu ngong rd,False,Twitter for Android,0,0
275,,2020-03-14 13:10:17,Kvnmarl, Kigali Rwanda bus park /station... Just before boarding a bus. Y'all can say shit about Paul Kagame but that dude is ove…,en,Nairobi Kenya,False,Twitter for Android,254,0
276,,2020-03-14 13:10:09,Kelly_Lankeu, Is Alex Chamwada still daring abroad?  #covid19kenya #coronaviruske #coronaInkenya,en,Nairobi,False,Twitter for Android,1,0
277,,2020-03-14 13:09:46,dkoech79, Wakalee tulkosea nini 🤣🤣🤣If you haven't watched this be sure to watch till the end. #covid19kenya #CoronaVirusUpdates…,en,,False,Twitter for Android,176,0
278,,2020-03-14 13:09:43,benardongeri16, Breaking News: Deputy president has Tested Positive for being the Next President of the Republic of Kenya. Gargantuan 😁.#co…,en,"Nairobi, Kenya",False,Twitter for Android,3,0
279,,2020-03-14 13:09:41,MwikaFrank," Between the two , who do you trust/ gives credible information ?Re tweet 🔄 Lord Abraham Mutai Like ✔ Robert Alai #co…",en,NAIROBI,False,Twitter for iPhone,33,0
280,,2020-03-14 13:09:31,DevangDixit5, Good Morning.. #coronaInkenya #CoronaVirusUpdates ,en,"Toronto, Ontario",False,Twitter Web App,618,0
